City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Bathsheba,BB,13.22,-59.52,80.6,78,40,20.8
Faanui,PF,-16.48,-151.75,78.71,83,98,7.74
Arlit,NE,18.74,7.39,88.21,16,0,11.05
Cidreira,BR,-30.18,-50.21,63.75,94,39,15.37
Airai,TL,-8.93,125.41,70.38,72,11,6.91
Ilo,PE,-17.64,-71.34,62.01,82,85,6.69
San Rafael,AR,-34.62,-68.33,45.59,57,0,4.63
Saskylakh,RU,71.92,114.08,64.53,39,27,19.55
Biltine,TD,14.53,20.92,80.91,31,0,6.85
Graham,US,47.05,-122.29,59.23,77,20,0.69
Poshekhon'ye,RU,58.5,39.14,66.88,87,31,4.41
Phan Thiet,VN,10.93,108.1,88.77,61,27,3.91
Watsa,CD,3.04,29.54,62.51,100,96,1.21
Grenfell,AU,-33.9,148.17,58.33,58,9,5.82
Dhangadhi,NP,28.71,80.6,95.16,44,0,4.7
Havre-St-Pierre,CA,50.23,-63.6,59.0,58,90,8.05
Fairbanks,US,64.84,-147.72,72.7,31,40,9.17
Buluang,PH,13.31,123.34,89.29,57,93,3.0
Pisco,PE,-13.7,-76.22,60.46,82,2,3.36
Searcy,US,35.25,-91.74,67.12,88,1,3.36
Guantánamo,CU,20.14,-75.21,80.6,83,75,8.05
Dikson,RU,73.51,80.55,31.75,95,83,11.97
Valparaíso,CL,-33.04,-71.63,53.6,100,90,4.7
Giohar,SO,2.78,45.5,74.8,83,65,16.75
Tieling,CN,42.29,123.84,92.08,26,59,13.78
Murgab,TM,37.5,61.97,77.0,27,0,13.87
Necochea,AR,-38.55,-58.74,57.0,97,100,1.01
Katobu,ID,-4.94,122.53,81.43,84,47,10.47
San Cristobal,VE,7.77,-72.22,66.6,92,100,3.87
Batán,CR,10.08,-83.34,78.39,85,100,2.59
Cabo San Lucas,MX,22.89,-109.91,91.4,14,40,14.63
Santa Rosa,PH,14.31,121.11,92.16,55,40,9.17
Muravlenko,RU,63.79,74.52,47.37,87,100,13.31
Biak,ID,-0.91,122.88,82.81,74,91,10.4
São João da Barra,BR,-21.64,-41.05,70.21,74,100,11.5
Moose Factory,CA,51.26,-80.61,68.0,77,1,9.17
Kawhia,NZ,-38.07,174.82,62.44,65,71,5.01
Mount Isa,AU,-20.73,139.5,78.8,31,0,10.29
Sobotín,CZ,50.01,17.09,59.0,81,93,1.01
Douentza,ML,15.0,-2.95,87.06,42,61,5.19
Yulara,AU,-25.24,130.99,64.4,25,0,18.34
Belaya Gora,RU,68.53,146.42,87.08,20,40,9.91
Chiang Khong,TH,20.26,100.4,78.8,94,40,5.82
Zaraza,VE,9.35,-65.32,72.81,92,95,1.79
Katsuura,JP,35.13,140.3,80.94,57,20,5.82
Bengkulu,ID,-3.8,102.27,86.16,63,5,3.44
Touros,BR,-5.2,-35.46,73.4,94,40,4.7
Adrar,MR,20.5,-10.07,94.24,19,0,21.61
Batagay-Alyta,RU,67.8,130.41,71.49,43,100,11.83
Arrondissement de Marseille,FR,43.33,5.5,61.2,77,0,13.87
Puerto Ayora,EC,-0.74,-90.35,72.0,87,88,1.99
Sept-Îles,CA,50.2,-66.38,63.81,45,75,3.36
Talnakh,RU,69.49,88.4,42.8,56,75,13.42
Uvat,RU,59.14,68.9,69.84,61,83,9.89
Miranda,CO,3.25,-76.23,71.6,83,40,9.17
Lorengau,PG,-2.02,147.27,84.13,75,26,5.26
Menongue,AO,-14.66,17.69,46.47,77,0,3.85
Taku,CN,39.02,117.65,86.0,28,100,13.42
Jinchang,CN,38.5,102.17,81.1,16,38,5.21
Boulder City,US,35.98,-114.83,88.66,9,1,16.11
La Rioja,ES,42.25,-2.5,55.4,93,40,3.36
Nuuk,GL,64.18,-51.72,35.29,91,98,8.05
Bagru,IN,26.81,75.54,95.0,39,18,10.29
Aras,ES,42.56,-2.36,55.4,93,40,3.36
Asilah,MA,35.47,-6.03,68.0,88,75,5.82
Grand Baie,MU,-20.02,57.58,69.01,82,17,3.0
Inuvik,CA,68.35,-133.72,69.8,46,75,4.7
Paris,FR,48.85,2.35,56.7,87,75,3.36
Ilula,TZ,-7.68,36.04,57.2,62,20,11.41
Tateyama,JP,34.98,139.87,78.87,64,40,13.87
Filingué,NE,14.35,3.32,91.78,44,65,15.73
Seoul,KR,37.57,126.98,82.4,58,75,4.7
Snina,SK,48.99,22.15,61.0,91,76,4.32
Broome,US,42.25,-75.83,57.2,55,1,4.7
Chui,UY,-33.7,-53.46,61.75,94,91,9.4
Ayan,RU,56.45,138.17,41.29,98,100,11.05
Watertown,US,42.37,-71.18,56.16,71,1,1.48
Muli,MV,2.92,73.57,84.15,77,37,10.45
Sliema,MT,35.91,14.5,66.67,88,0,8.05
Haverhill,US,42.78,-71.08,53.78,71,1,0.87
Evensk,RU,61.95,159.23,52.74,88,100,7.36
Ribeira Grande,PT,38.52,-28.7,64.96,87,67,18.79
Codrington,AU,-38.27,141.97,54.36,58,87,4.03
Mponela,MW,-13.53,33.74,50.04,89,4,8.77
Vardø,NO,70.37,31.11,44.6,65,75,6.93
Vila Franca do Campo,PT,37.72,-25.43,64.4,88,40,9.17
Turaif,SA,31.67,38.66,68.0,49,0,4.7
Pacific Grove,US,36.62,-121.92,56.7,72,75,9.17
Ipixuna,BR,-1.76,-48.8,80.6,83,79,3.36
Los Llanos de Aridane,ES,28.66,-17.92,69.4,88,99,2.24
Manosque,FR,43.83,5.79,55.94,90,18,3.58
Porto Walter,BR,-8.27,-72.74,72.95,83,13,1.05
Parkes,AU,-33.13,148.18,64.0,52,2,1.01
Chongwe,ZM,-15.33,28.68,49.39,95,2,7.18
Inta,RU,66.03,60.17,41.97,65,77,19.33
Panabá,MX,21.28,-88.27,75.4,92,6,5.14
Beringovskiy,RU,63.05,179.32,47.34,68,37,1.72
Senanga,ZM,-16.12,23.27,49.98,70,0,5.53
Chiang Kham,TH,19.52,100.3,80.02,94,40,5.82
Slave Lake,CA,55.28,-114.77,57.2,82,90,8.05
Takaka,NZ,-40.85,172.8,60.01,93,97,11.99
Polyarny,RU,69.2,33.45,44.6,70,33,6.71
Mezen',RU,65.85,44.24,48.36,56,71,11.07
Geilo,NO,60.53,8.21,53.01,74,6,1.99
Markova,UA,48.68,24.41,59.61,90,92,1.99
Avera,US,33.19,-82.53,62.4,93,90,4.7
Zambezi,ZM,-13.54,23.1,50.4,77,0,6.69
Guadalupe y Calvo,MX,26.1,-106.97,54.73,85,50,4.7
Port Lincoln,AU,-34.73,135.87,60.55,64,8,11.61
Basco,PH,20.45,121.97,84.67,78,37,13.35
Snyder,US,32.72,-100.92,82.4,48,1,17.22
San Patricio,MX,19.22,-104.7,79.32,69,37,5.95
Taltal,CL,-25.4,-70.48,55.36,76,41,5.82
Horsham,GB,51.06,-0.33,51.76,100,100,2.24
Martil,MA,35.62,-5.28,69.8,73,22,14.99
Ibrā’,OM,22.69,58.53,94.75,25,92,1.57
Cascais,PT,38.7,-9.42,62.82,88,0,5.21
Pecos,US,31.42,-103.49,84.2,35,1,13.87
Kavaratti,IN,10.57,72.64,84.2,79,90,11.41
Moundsville,US,39.92,-80.74,62.24,59,1,10.29
Jalu,LY,29.03,21.55,65.12,84,0,10.07
Katiola,CI,8.13,-5.1,75.2,100,99,11.41
Borogontsy,RU,62.67,131.17,78.22,27,39,8.3
Barentu,ER,15.11,37.59,71.76,69,100,6.73
Volchikha,RU,52.03,80.38,68.18,47,19,13.76
Anse-Bertrand,GP,16.47,-61.51,78.8,83,15,5.82
Pevek,RU,69.7,170.31,47.89,61,90,6.38
Leningradskiy,RU,69.38,178.42,53.94,52,42,11.68
Atyrau,KZ,47.12,51.88,78.8,22,24,4.47
Bud,US,39.45,-86.18,69.91,49,40,3.36
Cockburn Town,TC,21.46,-71.14,82.27,81,100,22.41
Bilibino,RU,68.05,166.44,76.39,26,100,1.05
Kalevala,RU,65.2,31.17,54.64,58,0,4.9
Kalabo,ZM,-14.97,22.68,50.81,76,4,6.02
Pemangkat,ID,1.17,108.97,83.52,70,29,4.9
Verkhnevilyuysk,RU,63.45,120.32,76.64,41,13,7.27
Chernyshevskiy,RU,63.01,112.47,64.56,37,80,5.95
Iralaya,HN,15.0,-83.23,80.4,88,100,8.12
Iqaluit,CA,63.75,-68.51,35.29,95,75,4.72
Chapais,CA,49.78,-74.85,68.0,34,75,5.82
Ţahţā,EG,26.77,31.5,80.08,23,0,5.91
Rock Hill,US,34.92,-81.03,58.32,87,90,9.17
Lüderitz,NA,-26.65,15.16,73.4,10,0,23.04
Japura,ID,-0.32,102.35,87.35,63,45,4.54
Lata,PT,40.16,-8.33,56.16,88,83,2.82
Verkh-Usugli,RU,52.7,115.17,73.31,55,100,4.43
Am Timan,TD,11.03,20.28,79.63,69,91,6.67
Port-Gentil,GA,-0.72,8.78,74.16,90,100,10.67
Cēsis,LV,57.31,25.27,63.54,84,0,3.31
Rio Grande,BR,-32.03,-52.1,60.01,96,51,1.99
Monforte de Lemos,ES,42.52,-7.51,48.0,93,93,1.01
Nikolskoye,RU,59.7,30.79,68.0,82,49,2.24
Kumul,CN,42.8,93.45,93.31,10,17,7.65
Coahuayana Viejo,MX,18.73,-103.68,78.96,74,23,0.27
Saint-Leu,RE,-21.15,55.28,57.58,82,90,11.41
Lamu,KE,-2.27,40.9,78.33,74,98,18.14
Tsagan Aman,RU,47.56,46.72,79.99,24,7,13.13
Rodrigues Alves,BR,-7.74,-72.65,72.34,83,10,1.32
Bambous Virieux,MU,-20.34,57.76,70.38,78,75,16.11
Ternovskaya,RU,45.85,40.41,72.0,74,44,4.88
Conde,BR,-7.26,-34.91,73.06,90,19,7.58
Mildura,AU,-34.2,142.15,62.28,63,90,5.82
North Bend,US,43.41,-124.22,58.98,77,20,8.05
Chanika,TZ,-5.42,38.02,57.63,89,2,3.06
Te Anau,NZ,-45.42,167.72,44.53,83,100,3.78
Øystese,NO,60.39,6.19,57.34,75,48,1.28
Mānsa,IN,29.98,75.38,104.41,18,0,9.53
Vao,NC,-22.67,167.48,73.35,81,75,16.37
Lokosovo,RU,61.13,74.82,69.8,57,82,14.7
Provideniya,RU,64.38,-173.3,53.6,66,2,8.95
Yangi Marg`ilon,UZ,40.43,71.72,78.8,22,93,13.87
Votkinsk,RU,57.05,53.99,66.99,74,0,3.0
Winneba,GH,5.35,-0.62,80.6,88,75,14.99
Srednekolymsk,RU,67.45,153.68,86.02,22,84,5.99
Regeneração,BR,-6.24,-42.69,76.01,73,80,7.34
Hasaki,JP,35.73,140.83,81.21,57,75,12.75
Labuhan,ID,-6.88,112.21,86.05,66,16,4.52
Norman Wells,CA,65.28,-126.83,71.6,49,20,23.04
Kargil,IN,34.57,76.1,54.5,39,20,5.61
Sompeta,IN,18.93,84.6,85.82,75,100,13.15
Hualmay,PE,-11.1,-77.61,61.77,85,59,12.03
Awjilah,LY,29.11,21.29,64.42,89,0,7.78
Vostok,RU,46.49,135.88,49.14,99,100,2.71
Lyaskelya,RU,61.77,31.02,56.28,71,0,8.03
Tazovsky,RU,67.47,78.7,41.2,69,90,7.65
Bismarck,US,46.81,-100.78,83.12,42,1,18.34
Itarema,BR,-2.92,-39.92,76.62,85,0,11.43
Luba,GQ,3.46,8.55,78.76,84,100,13.06
Geraldton,AU,-28.77,114.6,77.0,41,75,21.92
Thompson,CA,55.74,-97.86,71.6,40,75,8.05
Kieta,PG,-6.22,155.63,82.92,76,64,3.85
Capinópolis,BR,-18.68,-49.57,67.59,67,21,6.67
Cassilândia,BR,-19.11,-51.73,64.35,79,1,4.32
Alofi,NU,-19.06,-169.92,77.0,57,75,18.34
Micheweni,TZ,-4.97,39.83,78.04,71,1,17.27
Caucayá,CO,-0.19,-74.78,71.51,97,99,2.08
Salalah,OM,17.02,54.09,84.2,89,20,3.36
Nelson Bay,AU,-32.72,152.15,66.65,68,75,17.22
Mogapi,BW,-22.32,27.83,42.46,98,5,5.26
Nador,MA,35.17,-2.93,68.31,60,89,13.87
Skjervøy,NO,70.03,20.97,44.4,75,68,8.23
Ikot Ekpene,NG,5.18,7.71,74.08,95,100,4.12
Bereda,ES,43.27,-7.54,53.01,100,98,2.35
Wau,SS,7.7,28.0,72.12,83,75,5.21
Kędzierzyn-Koźle,PL,50.35,18.23,62.01,99,83,1.99
San Alberto,CO,7.76,-73.39,76.17,77,100,4.92
Makakilo City,US,21.35,-158.09,79.86,69,90,8.05
Svetlaya,RU,46.54,138.33,50.45,80,98,9.04
Matara,LK,5.95,80.54,84.0,79,87,11.61
Huarmey,PE,-10.07,-78.15,62.58,86,49,10.6
Siniscola,IT,40.57,9.69,64.4,68,41,9.17
Sola,VU,-13.88,167.55,84.2,83,90,14.99
Shingū,JP,33.73,135.98,78.8,65,75,6.93
Bryan,US,30.67,-96.37,79.36,51,1,6.93
Ahipara,NZ,-35.17,173.17,61.2,75,100,9.24
Orël-Izumrud,RU,43.46,39.92,70.11,83,7,8.95
Charlestown,AU,-32.95,151.67,61.9,90,68,3.0
The Valley,AI,18.22,-63.06,81.79,58,20,16.11
Tagusao,PH,9.19,117.81,85.68,70,41,1.68
Lagoa,PT,39.05,-27.98,64.58,87,69,15.12
Loíza,PR,18.43,-65.88,79.48,74,20,5.82
Naze,JP,28.37,129.48,79.72,88,75,6.93
Warmbad,NA,-28.45,18.73,44.91,52,0,15.73
Holiday,US,28.19,-82.74,75.65,89,0,7.43
Patea,NZ,-39.76,174.48,58.44,50,24,3.0
Baruun-Urt,MN,46.68,113.28,84.96,21,99,8.05
Kahului,US,20.89,-156.47,73.99,73,38,5.01
Peterhead,GB,57.51,-1.8,51.89,100,45,2.24
Saquena,PE,-4.67,-73.52,72.27,94,47,0.45
Rabo de Peixe,PT,37.8,-25.58,64.4,88,40,9.17
Scarborough,GB,54.28,-0.4,52.9,96,23,2.08
Pangnirtung,CA,66.15,-65.71,31.87,94,34,1.07
Baker City,US,44.77,-117.83,49.75,57,1,14.99
Narrabri,AU,-30.32,149.78,64.24,45,0,12.75
Sri Aman,MY,1.24,111.46,87.4,74,75,2.24
Celestún,MX,20.87,-90.4,80.13,80,0,13.58
Gobabis,NA,-22.45,18.97,40.84,51,0,8.16
Jiquinlaca,HN,14.0,-88.35,70.52,93,100,2.13
Pacifica,US,37.61,-122.49,57.4,76,1,14.99
Pinega,RU,64.7,43.39,48.4,57,96,5.84
Cuiluan,CN,47.72,128.65,64.65,57,53,11.9
Santa Maria,BR,-29.68,-53.81,65.19,87,86,7.16
Steamboat Springs,US,40.48,-106.83,62.6,20,1,7.72
Porto-Novo,BJ,6.5,2.6,82.4,83,40,12.75
Bubaque,GW,11.28,-15.83,81.39,81,43,14.23
Sinnamary,GF,5.38,-52.95,76.98,88,64,4.54
Alghero,IT,40.56,8.32,59.0,100,0,3.36
Mollendo,PE,-17.02,-72.01,61.45,83,92,6.78
Umm Kaddadah,SD,13.6,26.69,85.51,41,38,8.88
Antofagasta,CL,-23.65,-70.4,60.8,72,90,3.36
Iracoubo,GF,5.48,-53.2,76.46,90,77,5.26
Stornoway,GB,58.21,-6.39,53.35,93,100,9.17
Vestmannaeyjar,IS,63.44,-20.27,46.26,78,31,3.31
Itoman,JP,26.12,127.67,87.57,79,20,12.75
Orán,AR,-23.13,-64.33,63.82,73,2,1.59
Najrān,SA,17.49,44.13,75.2,23,0,5.5
Noumea,NC,-22.28,166.46,78.8,57,75,11.41
Bichura,RU,50.59,107.6,68.86,39,18,5.19
Opmeer,NL,52.71,4.94,59.85,91,0,1.01
Jalingo,NG,8.88,11.37,74.62,93,86,3.53
Cherskiy,RU,68.75,161.3,78.96,25,64,3.89
Progreso,MX,21.28,-89.67,79.07,88,40,6.93
Kaeo,NZ,-35.1,173.78,61.02,3,98,4.0
Erzin,TR,36.96,36.2,72.0,86,12,1.54
Surat Thani,TH,9.14,99.33,88.07,79,40,3.36
Kribi,CM,2.95,9.92,76.87,90,99,10.29
Shihezi,CN,44.3,86.03,89.29,21,99,12.46
Namatanai,PG,-3.67,152.43,83.91,71,53,2.15
Tiksi,RU,71.69,128.87,52.72,48,100,7.67
Horodnya,UA,51.89,31.6,64.47,85,78,10.13
Kloulklubed,PW,7.04,134.26,87.8,66,75,6.93
Yumen,CN,40.28,97.2,84.02,13,0,4.12
Whitehorse,CA,60.72,-135.05,47.39,93,75,13.87
Sisimiut,GL,66.94,-53.67,35.29,86,94,4.34
Mīzan Teferī,ET,6.98,35.58,60.75,91,44,2.82
Kiryat Gat,IL,31.61,34.76,69.01,81,0,2.68
Waingapu,ID,-9.66,120.26,84.11,65,98,20.49
San Miguel de Tucumán,AR,-26.82,-65.22,57.2,76,100,2.04
Walvis Bay,NA,-22.96,14.51,73.4,13,0,21.92
Swanton,US,41.59,-83.89,63.86,77,1,4.5
Aykhal,RU,66.0,111.5,60.8,36,75,8.95
Dawson,US,31.77,-84.45,63.59,88,1,4.76
Mauá,BR,-23.67,-46.46,61.27,82,75,4.7
Dongsheng,CN,39.82,109.98,62.56,59,100,10.0
Lantawan,PH,10.62,123.98,87.8,70,40,5.82
Río Gallegos,AR,-51.62,-69.22,28.4,92,2,11.41
Narsaq,GL,60.92,-46.05,39.2,86,45,8.05
Bayshore Gardens,US,27.43,-82.59,79.02,69,1,4.7
Aklavik,CA,68.22,-135.01,69.8,46,75,4.7
Mastic Beach,US,40.77,-72.85,58.98,72,1,9.57
Staryy Nadym,RU,65.61,72.68,47.01,54,84,12.68
Padang,ID,-0.95,100.35,85.24,66,12,4.25
Takapau,NZ,-40.03,176.35,61.0,71,6,3.0
Casablanca,MA,33.59,-7.62,64.4,88,37,6.93
Avdon,RU,54.67,55.72,68.0,64,0,4.47
Saurimo,AO,-9.66,20.39,52.95,65,0,5.5
Kirakira,SB,-10.45,161.92,82.36,77,97,6.49
Pemba,MZ,-12.97,40.52,71.29,78,75,13.87
Myitkyina,MM,25.38,97.4,79.61,92,100,1.77
Bontang,ID,0.13,117.5,84.65,69,12,8.57
Druzhba,UA,52.04,33.95,63.37,82,63,11.18
Mufulira,ZM,-12.55,28.24,47.35,83,0,5.68
